⺀	(⺀,Ye,,部首補充)
塮	(土身寸,GtRsAc,xiè,GBK)
塯	(土卯田,GtGmYt,liù,GBK)
塰	(氵𠂉母土,IsAvWuGt,hǎi,GBK)
塱	(丶彐厶土,LdXjKsGt,lǎng,GBK)
塲	(土𠂉日{两撇},GtAvJrHp,cháng_shāng_chǎng,GBK)
塳	(土夊丰辶,GtEuLfHc,péng,GBK)
塴	(土山月月,GtTsWyWy,bèng,GBK)
塵	(鹿土,KlGt,chén,GBK)
塶	(土鹿,GtKl,lù,GBK)
塷	(土鹵,GtGl,lǔ,GBK)
塸	(土匚口口,GtWfOvOv,ōu,GBK)
塹	(車斤土,NcCjGt,qiàn_jiàn,GBK)
塺	(麻土,BvGt,méi,GBK)
塻	(土艹日大,GtScJrUd,mò,GBK)
塼	(土{專上}寸,GtNcAc,zhuān_tuán,GBK)
塽	(土大乂乂,GtUdCiCi,shuǎng,GBK)
塾	({京頭}子九土,LgKzTjGt,shú,GB0)
塿	(土口十女,GtOvQiRn,lǒu,GBK)
墀	(土尸水牛,GtYsHsTn,chí,GB0)
墁	(土日罒又,GtJrKwBo,màn,GB0)
墂	(土西示,GtSiDi,biāo,GBK)
境	(土立日儿,GtAlJrNe,jìng,GB0)
墄	(土戊上小,GtMwKsVi,cè,GBK)
墅	(里予土,GlMuGt,shù_yě,GB0)
墆	(土卌一巾,GtSaFiVj,zhì_dì,GBK)
墇	(土立早,GtAlTo,zhàng,GBK)
墈	(土其乚力,GtTqKnWl,kàn,GBK)
墉	(土广肀月,GtLaXjWy,yōng,GB0)
墊	(土䒑十土,GtQdQiGt,diàn,GBK)
墋	(土厶厶彡,GtKsKsHp,chěn,GBK)
墌	(土广卄灬,GtLaScTo,zhí_zhuó,GBK)
墍	(白匕匚土,DaIbWfGt,xì,GBK)
墎	(土{京頭}子阝,GtLgKzBf,guō,GBK)
墏	(爿月寸土,LcWyAcGt,qiǎng,GBK)
墐	(土革二,GtGgYe,jìn_qín,GBK)
墑	(土亠丷古,GtLtQdIu,dì,GBK)
墒	(土亠丷口,GtLtQdOv,shāng,GB0)
墓	(艹日大土,ScJrUdGt,mù,GB0)
墔	(土山隹,GtTsYz,cuī,GBK)
墕	(土一止灬,GtFiNzTo,yàn_yān,GBK)
墖	(土合田,GtRhYt,tǎ,GBK)
増	(土丷田日,GtQdYtJr,zēng,GBK)
墘	(土十早乙,GtQiToVi,qián,GBK)
墙	(土十䒑口,GtQiQdOv,qiáng,GB0)
墚	(土氵刀木,GtIsIaFm,liáng,GB0)
墛	(土尸示寸,GtYsDiAc,wèi,GBK)
墜	(阝䒑豕土,BfQdBiGt,zhuì,GBK)
墝	(土土土兀,GtGtGtPw,qiāo_qiào,GBK)
增	(土丷日日,GtQdJrJr,zēng_zèng_céng,GB0)
墟	(土{虎头}业,GtMhLy,xū,GB0)
墠	(土口口十,GtOvOvQi,shàn_chǎn,GBK)
墡	(土羊䒑口,GtHvQdOv,shàn,GBK)
墢	(土癶弓殳,GtBoPgDs,bá_fèi,GBK)
墣	(土业䒑夫,GtLyQdKf,pú,GBK)
墤	(土口丄貝,GtOvKsXb,kuài_tuí,GBK)
墥	(土立里,GtAlGl,dǒng_tuǎn,GBK)
墦	(土丿米田,GtMpTmYt,fán_fān,GBK)
墧	(土夭口口,GtVyOvOv,què_qiáo,GBK)
墨	(黑土,QhGt,mò_mèi,GB0)
墩	(土{京頭}子夊,GtLgKzEu,dūn,GB0)
墪	({京頭}子夊土,LgKzEuGt,dūn,GBK)
墫	(土丷酉寸,GtQdVoAc,zūn_cūn,GBK)
墬	(阝{互中}豕土,BfWuBiGt,dì,GBK)
墭	(土戊乛皿,GtMwViXm,shèng,GBK)
墮	(阝{左上}工土,BfSzKgGt,duò_huī_huì,GBK)
墯	(忄{左上}工土,HxSzKgGt,duò,GBK)
墰	(土西早,GtSiTo,tán,GBK)
墱	(土癶一䒑,GtBoFiQd,dèng_dēng,GBK)
墲	(土𠂉卌灬,GtAvSaTo,mú_wú,GBK)
墳	(土十卄貝,GtQiScXb,fén_fèn,GBK)
墴	(土龷由八,GtScAyUa,huáng,GBK)
墵	(土雨二厶,GtXuYeKs,tán,GBK)
墶	(土土羊辶,GtGtHvHc,da,GBK)
墷	(土艹干龷,GtScNgSc,yè,GBK)
墸	(土艹耂日,GtScGtJr,zhù,GBK)
墹	(土門日,GtCmJr,jiàn,GBK)
墺	(土{向框}米大,GtDxTmUd,ào,GBK)
墻	(土土人口,GtGtReOv,qiáng,GBK)
墼	(車凵殳土,NcDkDsGt,jī,GB0)
墽	(土白方夊,GtDaNfEu,qiāo_qiào_áo,GBK)
墾	(豸艮土,EzMgGt,kěn,GBK)
墿	(土罒土十,GtKwGtQi,yì_tú,GBK)
壀	(土尸口辛,GtYsOvRx,pí,GBK)
壁	(尸口辛土,YsOvRxGt,bì,GB0)
壂	(尸龷八土,YsScUaGt,diàn,GBK)
壃	(土一田一,GtFiYtFi,jiāng,GBK)
壄	(木予丿土,FmMuMpGt,yě,GBK)
壅	(亠{纟上}丿土,LtNjMpGt,yōng_wèng,GB0)
壆	(臼乂乂土,HjCiCiGt,xué_jué_bó,GBK)
壇	(土亠囗一,GtLtXwFi,tán_shàn_dàn_tǎn,GBK)
壈	(土亠囗禾,GtLtXwVe,lǎn,GBK)
壉	(土{虎头}豕,GtMhBi,jù,GBK)
壊	(土十罒𧘇,GtQiKwSi,huài,GBK)
壋	(土尚田,GtJsYt,dàng,GBK)
壌	(土亠八𧘇,GtLtUaSi,rǎng,GBK)
壍	(氵車斤土,IsNcCjGt,qiàn,GBK)
壎	(土千黑,GtYqQh,xūn_xùn,GBK)
壏	(土臣{⺮右}皿,GtDeAvXm,xiàn_làn,GBK)
壐	(一八巾土,FiUaVjGt,xǐ,GBK)
壑	(卜冖一土,NvPiFiGt,hè_huò,GB0)
壒	(土艹土皿,GtScGtXm,ài,GBK)
壓	(厂日月土,McJrWyGt,yā_yà,GBK)
壔	(土士乛寸,GtGiViAc,dǎo,GBK)
壕	(土{亮頭}豕,GtLgBi,háo,GB0)
壖	(土雨而,GtXuPe,ruán,GBK)
壗	(土肀一皿,GtXjFiXm,jìn,GBK)
壘	(田田田土,YtYtYtGt,lěi_léi_lǜ,GBK)
壙	(土广龷八,GtLaScUa,kuàng_kuǎng,GBK)
壚	(土{虎头}田皿,GtMhYtXm,lú,GBK)
壛	(土門冖臼,GtCmPiHj,yán,GBK)
壜	(土日雨厶,GtJrXuKs,tán,GBK)
壝	(土口丄辶,GtOvKsHc,wěi,GBK)
壞	(土亠罒𧘇,GtLtKwSi,huài_huì_huái,GBK)
壟	(立月{龍右}土,AlWyNvGt,lǒng,GBK)
壠	(土立月{龍右},GtAlWyNv,lǒng,GBK)
壡	(卜冖一土,NvPiFiGt,ruì,GBK)
壢	(土厂禾止,GtMcVeNz,lì,GBK)
壣	(土耳幺丱,GtMrTaDj,lín,GBK)
壤	(土{襄頭}{冓上}𧘇,GtLgSaSi,rǎng,GB0)
壥	(土厂黑土,GtMcQhGt,chán,GBK)
壦	(土艹口隹,GtScOvYz,xūn,GBK)
壧	(土口口夊,GtOvOvEu,yán,GBK)
壨	(田田田土,YtYtYtGt,léi,GBK)
壩	(土雨革月,GtXuGgWy,bà,GBK)
壪	(土言糹弓,GtUyPsPg,wān,GBK)
士	(士,Gi,shì,GB0)
壬	(壬,Te,rén,GB0)
壭	(士卩,GiKj,san,GBK)
壮	(丬士,JqGi,zhuàng,GB0)
壯	(爿士,LcGi,zhuàng_zhuāng,GBK)
声	(士{眉上},GiYs,shēng_qìng,GB0)
壱	(士冖匕,GiPiIb,yī,GBK)
売	(士冖儿,GiPiNe,mài,GBK)
壳	(士冖几,GiPiDj,ké_qiào,GB0)
壴	(壴,Pz,zhù,GBK)
壵	(士士士,GiGiGi,zhuàng,GBK)
壶	(士冖业,GiPiLy,hú,GB0)
壷	(士冖口一,GiPiOvFi,hú,GBK)
壸	(士冖丌䒑,GiPiYjQd,kǔn,GBK)
壹	(士冖一䒑,GiPiFiQd,yī_yīn,GB0)
壺	(士冖{亞下},GiPiQy,hú,GBK)
壻	(土乛龰月,GtViNzWy,xù,GBK)
壼	(士冖一{亞下},GiPiFiQy,kǔn,GBK)
壽	(士乛工寸,GiViKgAc,shòu,GBK)
壾	(壴匚コ,PzWfBo,mǎng,GBK)
壿	(士丷酉寸,GiQdVoAc,zūn,GBK)
夀	(龶乛口寸,HqViOvAc,shòu,GBK)
夁	(士罒囗古,GiKwXwIu,yī,GBK)
夂	(夊,Eu,zhǐ_zhōng,GB0)
夃	(乃又,VnBo,gǔ_yíng,GBK)
处	(夊卜,EuNv,chù_chǔ,GB0)
夅	(夊ヰ,EuEk,jiàng,GBK)
夆	(夊丰,EuLf,féng_páng,GBK)
备	(夊田,EuYt,bèi,GB0)
夈	(夊米,EuTm,zhāi,GBK)
変	(亦夊,HiEu,biàn,GBK)
夊	(夊,Eu,suī,GBK)
夋	(厶八夊,KsUaEu,qūn,GBK)
夌	(土八夊,GtUaEu,líng,GBK)
复	(𠂉日夊,AvJrEu,fù,GB0)
夎	(人人土夊,ReReGtEu,cuò,GBK)
夏	(丆目夊,UsRmEu,xià_jiǎ,GB0)
夐	(冖冂人夊,PiPkReEu,xiòng_xuàn,GBK)
夑	(言火火夊,UyThThEu,xiè,GBK)
夒	(丆目止夊,UsRmNzEu,náo,GBK)
夓	(丆目臼夊,UsRmHjEu,xià,GBK)
夔	(䒑自止夊,QdRiNzEu,kuí,GB0)
夕	(夕,Ux,xī_yì,GB0)
外	(夕卜,UxNv,wài,GB0)
夗	(夕㔾,UxVi,yuàn_wǎn_wān_yuān,GBK)
夘	(夕卩,UxKj,mǎo_wān,GBK)
夙	(几一夕,DjFiUx,sù,GB0)
多	(夕夕,UxUx,duō,GB0)
夛	(彐夕,XjUx,duō,GBK)
夜	(亠亻夕乀,LtEeUxLd,yè,GB0)
夝	(夕生,UxLe,qíng,GBK)
夞	(夕卜口匕,UxNvOvIb,wài,GBK)
够	(勹口夕夕,HbOvUxUx,gòu,GB0)
夠	(夕夕勹口,UxUxHbOv,gòu,GBK)
夡	(夕夕士口,UxUxGiOv,qì,GBK)
夢	(艹罒冖夕,ScKwPiUx,mèng_méng,GBK)
夣	(亠厶罒夕,LtKsKwUx,mèng,GBK)
夤	(夕宀一八,UxKbFiUa,yín,GB0)
夥	(日木夕夕,JrFmUxUx,huǒ,GB0)
夦	(其乚夕夕,TqKnUxUx,chěn,GBK)
大	(大,Ud,dà_dài_tài,GB0)
夨	(乚大,KnUd,zè,GBK)
天	(一大,FiUd,tiān,GB0)
太	(大丶,UdLd,tài_tā,GB0)
夫	(夫,Kf,fū_fú,GB0)
夬	(コ人,BoRe,guài_jué,GBK)
夭	(夭,Vy,yāo_wò_wāi,GB0)
央	(冂大,PkUd,yāng_yīng,GB0)
夯	(大力,UdWl,hāng_bèn,GB0)
夰	(大{介下},UdUa,gǎo,GBK)
失	(丿夫,MpKf,shī_yì,GB0)
夲	(大十,UdQi,tāo_běn,GBK)
夳	(大二,UdYe,tài,GBK)
头	(⺀大,YeUd,tóu_tou,GB0)
夵	(大小,UdVi,yǎn_tāo,GBK)
夶	(大大,UdUd,bǐ,GBK)
夷	(大弓,UdPg,yí,GB0)
夸	(大一丂,UdFiEk,kuā_kuà_kuǎ,GB0)
夹	(夫丷,KfQd,jiā_gā_jiá,GB0)
夺	(大寸,UdAc,duó,GB0)
夻	(大口,UdOv,huà,GBK)
夼	(大川,UdYc,kuǎng,GB0)
夽	(大二厶,UdYeKs,yǔn,GBK)
夾	(大人人,UdReRe,jiā_jiá_xié_xiá_gā,GBK)
夿	(大巴,UdNb,bā,GBK)
奀	(不大,ObUd,ēn,GBK)
奁	(大匚乂,UdWfCi,lián,GB0)
奂	(冖冂大,PiPkUd,huàn,GB0)
奃	(大{卬左}七丶,UdGmWiLd,dī_tì,GBK)
奄	(大电,UdPd,yǎn_yān,GB0)
奅	(大卯,UdGm,pào,GBK)
奆	(大匚コ,UdWfBo,juàn,GBK)
奇	(大丁口,UdDdOv,qí_jī_ǎi_yǐ,GB0)
奈	(大示,UdDi,nài,GB0)
奉	(𡗗キ,WpEk,fèng,GB0)
奊	(土土乚大,GtGtKnUd,xié_liè_xǐ_pí,GBK)
奋	(大田,UdYt,fèn_kǎng,GB0)
奌	(卜口大,NvOvUd,diǎn,GBK)
奍	(丷夫{介下},QdKfUa,quān,GBK)
奎	(大土土,UdGtGt,kuí_kuǐ,GB0)
奏	(𡗗一大,WpFiUd,zòu_còu,GB0)
奐	(冖冂八大,PiPkUaUd,huàn,GBK)
契	(丰刀大,LfIaUd,qì_xiè_qiè_jié,GB0)
奒	(大亥,UdEh,kāi,GBK)
奓	(大夕夕,UdUxUx,zhā_shē_chǐ_zhà,GBK)
奔	(大十卄,UdQiSc,bēn_bèn_fèn,GB0)
奕	(亦大,HiUd,yì,GB0)
奖	(丬夕大,JqUxUd,jiǎng,GB0)
套	(大镸,UdWz,tào_tǎo,GB0)
奘	(爿士大,LcGiUd,zàng_zhuǎng,GB0)
奙	(厶大电,KsUdPd,běn,GBK)
奚	(爪幺大,BzTaUd,xī,GB0)
奛	(大日月,UdJrWy,huǎng,GBK)
奜	(非大,UfUd,fěi_fēi,GBK)
奝	(大⺆土口,UdHbGtOv,diāo,GBK)
奞	(大隹,UdYz,xùn,GBK)
奟	(大月月,UdWyWy,bēng_kēng,GBK)
奠	(丷酉大,QdVoUd,diàn_tíng_dìng_zhèng_zūn,GB0)
奡	(丆目大{介下},UsRmUdUa,ào_xiào,GBK)
奢	(大耂日,UdGtJr,shē,GB0)
奣	(一大日月,FiUdJrWy,wěng,GBK)
奤	(大面,UdWm,hǎ_pò_tǎi,GBK)
奥	({向框}米大,DxTmUd,ào_yù_yōu,GB0)
奦	(予丿夊大,MuMpEuUd,wù,GBK)
奧	({向框}丿米大,DxMpTmUd,ào,GBK)
奨	(丬爪寸大,JqBzAcUd,jiǎng,GBK)
奩	(大匚口口,UdWfOvOv,lián,GBK)
奪	(大隹寸,UdYzAc,duó_duì,GBK)
奫	(大氵片一,UdIsLpFi,yūn,GBK)
奬	(爿月寸大,LcWyAcUd,jiǎng,GBK)
奭	(大丆日日,UdUsJrJr,shì,GBK)
奮	(大隹田,UdYzYt,fèn,GBK)
奯	(大止戊小,UdNzMwVi,huò,GBK)
奰	(罒罒罒大,KwKwKwUd,bì,GBK)
奱	(言糹糹大,UyPsPsUd,luán,GBK)
奲	(大耂日十,UdGtJrQi,duǒ_chě,GBK)
女	(女,Rn,nǚ_nǜ_rǔ,GB0)
奴	(女又,RnBo,nú,GB0)
奵	(女丁,RnDd,dǐng_dīng_tiǎn,GBK)
奶	(女乃,RnVn,nǎi,GB0)
奷	(女千,RnYq,qiān,GBK)
奸	(女干,RnNg,jiān_gān,GB0)
她	(女也,RnJe,tā_jiě_chí,GB0)
奺	(女冖丶,RnPiLd,jiǔ,GBK)
奻	(女女,RnRn,nuán,GBK)
奼	(女丿七,RnMpWi,chà,GBK)
好	(女子,RnKz,hǎo_hào,GB0)
奾	(女山,RnTs,xiān,GBK)
奿	(九丶女,TjLdRn,fàn,GBK)
妀	(己女,EjRn,jǐ,GBK)
妁	(女勹丶,RnHbLd,shuò_yuē,GB0)
如	(女口,RnOv,rú,GB0)
妃	(女己,RnEj,fēi_pèi,GB0)
妄	(亡女,WwRn,wàng_wáng,GB0)
妅	(女工,RnKg,hóng,GBK)
妆	(丬女,JqRn,zhuāng,GB0)
妇	(女彐,RnXj,fù,GB0)
妈	(女马,RnGm,mā,GB0)
妉	(女冖儿,RnPiNe,dān,GBK)
妊	(女壬,RnTe,rèn_rén,GB0)
妋	(女夫,RnKf,fū_yōu,GBK)
妌	(女二{介下},RnYeUa,jìng,GBK)
妍	(女一卄,RnFiSc,yán,GB0)
妎	(女人{介下},RnReUa,hài_jiè,GBK)
妏	(女文,RnRw,wèn,GBK)
妐	(女八厶,RnUaKs,zhōng,GBK)
妑	(女巴,RnNb,pā,GBK)
妒	(女户,RnDv,dù,GB0)
妓	(女十又,RnQiBo,jì_jī,GB0)
妔	(女亠几,RnLtDj,kēng_háng,GBK)
妕	(女口丨,RnOvIv,zhòng,GBK)
妖	(女夭,RnVy,yāo_jiǎo,GB0)
妗	(女人丶乛,RnReLdVi,jìn_xiān,GB0)
妘	(女二厶,RnYeKs,yún,GBK)
妙	(女小丿,RnViMp,miào_miǎo,GB0)
妚	(女不,RnOb,fǒu_pēi_pī,GBK)
妛	(屮一女,DcFiRn,chī,GBK)
妜	(女コ人,RnBoRe,yuè_jué,GBK)
妝	(爿女,LcRn,zhuāng,GBK)
妞	(女丑,RnKc,niū_hào,GB0)
妟	(日女,JrRn,yàn,GBK)
妠	(女冂人,RnPkRe,nà_nàn,GBK)
妡	(女斤,RnCj,xīn,GBK)
妢	(女八刀,RnUaIa,fén,GBK)
妣	(女匕匕,RnIbIb,bǐ,GB0)
妤	(女予,RnMu,yú,GB0)
妥	(爪女,BzRn,tuǒ,GB0)
妦	(女丰,RnLf,fēng,GBK)
妧	(女一兀,RnFiPw,wàn_yuán,GBK)
妨	(女方,RnNf,fáng_fāng,GB0)
妩	(女一尢,RnFiKy,wǔ,GB0)
妪	(女匚乂,RnWfCi,yù,GB0)
妫	(女丶力丶,RnLdWlLd,guī,GB0)
妬	(女石,RnUs,dù,GBK)
妭	(女{左上}又丶,RnSzBoLd,bá_bō,GBK)
妮	(女尸匕,RnYsIb,nī_ní,GB0)
妯	(女由,RnAy,zhóu_chōu,GB0)
妰	(女𠂉{乍下},RnAvNv,zhuó,GBK)
妱	(女刀口,RnIaOv,zhāo,GBK)
妲	(女日一,RnJrFi,dá,GB0)
妳	(女冖小,RnPiVi,nǐ_nǎi,GBK)
妴	(夕㔾女,UxViRn,yuàn,GBK)
妵	(女丶王,RnLdJw,tǒu,GBK)
妶	(女亠幺,RnLtTa,xián_xuán_xù,GBK)
妷	(女丿夫,RnMpKf,zhí_yì,GBK)
妸	(女丁口,RnDdOv,ē_ě,GBK)
妹	(女未,RnDw,mèi,GB0)
妺	(女末,RnDm,mò,GBK)
妻	(十彐女,QiXjRn,qī_qì,GB0)
妼	(女心丿,RnTiMp,bì,GBK)
妽	(女申,RnNs,shēn,GBK)
妾	(立女,AlRn,qiè,GB0)
妿	(力口女,WlOvRn,ē,GBK)
姀	(女禾,RnVe,hé,GBK)
姁	(女勹口,RnHbOv,xǔ_xū,GBK)
姂	(女丿之,RnMpHz,fá,GBK)
姃	(女一止,RnFiNz,zhēng,GBK)
姄	(女巳七,RnNiWi,mín,GBK)
姅	(女丷キ,RnQdEk,bàn,GBK)
姆	(女母,RnWu,mǔ,GB0)
姇	(亻寸女,EeAcRn,fū_fú,GBK)
姈	(女人丶マ,RnReLdBo,líng,GBK)
姉	(女一巾,RnFiVj,zǐ,GBK)
姊	(女丿㇉丿,RnMpKnMp,zǐ,GB0)
始	(女厶口,RnKsOv,shǐ,GB0)
姌	(女冂土,RnPkGt,rǎn,GBK)
姍	(女冊,RnIc,shān_xiān_pān,GBK)
姎	(女冂大,RnPkUd,yāng,GBK)
姏	(女卄二,RnScYe,mán,GBK)
姐	(女且,RnHq,jiě_jù_xù_zū,GB0)
姑	(女古,RnIu,gū,GB0)
姒	(女乚丶人,RnKnLdRe,sì,GB0)
姓	(女生,RnLe,xìng_shēng,GB0)
委	(禾女,VeRn,wěi_wēi_wèi,GB0)
姕	(止匕女,NzIbRn,zī_cǐ_cī,GBK)
姖	(女匚コ,RnWfBo,jù,GBK)
姗	(女⺆⺆一,RnHbHbFi,shān,GB0)
姘	(女䒑卄,RnQdSc,pīn_pín,GB0)
姙	(女亻壬,RnEeTe,rèn,GBK)
姚	(女儿二二,RnNeYeYe,yáo_tiào_táo_yào,GB0)
姛	(女冂一口,RnPkFiOv,dòng,GBK)
姜	(羊女,HvRn,jiāng,GB0)
姝	(女牛八,RnTnUa,shū,GB0)
姞	(女士口,RnGiOv,jí,GBK)
姟	(女亥,RnEh,gāi,GBK)
姠	(女向,RnDx,xiàng,GBK)
姡	(女舌,RnSs,huá_huó,GBK)
姢	(女厶月,RnKsWy,juān,GBK)
姣	(女亠八乂,RnLtUaCi,jiāo_jiǎo_xiáo,GB0)
姤	(女⺁一口,RnCjFiOv,gòu,GBK)
姥	(女耂匕,RnGtIb,lǎo_mǔ,GB0)
姦	(女女女,RnRnRn,jiān,GBK)
姧	(女女干,RnRnNg,jiān,GBK)
姨	(女大弓,RnUdPg,yí,GB0)
姩	(女𠂉ヰ,RnAvEk,niàn_nián,GBK)
姪	(女至,RnUz,zhí,GBK)
姫	(女臣,RnDe,jī_zhěn,GBK)
姬	(女臣,RnDe,jī_yí,GB0)
姭	(力力力女,WlWlWlRn,xiàn,GBK)
姮	(女一日一,RnFiJrFi,héng,GBK)
姯	(女小兀,RnViPw,guāng,GBK)
姰	(女勹日,RnHbJr,jūn_xūn_xuàn_xīn,GBK)
姱	(女大一丂,RnUdFiEk,kuā_hù,GBK)
姲	(女宀女,RnKbRn,yàn,GBK)
姳	(女夕口,RnUxOv,mǐng,GBK)
姴	(一夕刂女,FiUxGdRn,liè,GBK)
姵	(女几一巾,RnDjFiVj,pèi,GBK)
姶	(女合,RnRh,è_yà,GBK)
姷	(女{左上}月,RnSzWy,yòu,GBK)
姸	(女干干,RnNgNg,yán,GBK)
姹	(女宀丿七,RnKbMpWi,chà,GB0)
姺	(女⺧儿,RnTnNe,shēn_xiān,GBK)
姻	(女囗大,RnXwUd,yīn,GB0)
姼	(女夕夕,RnUxUx,shí_tí_jì,GBK)
姽	(女冖厂㔾,RnPiMcVi,guǐ_wá,GBK)
姾	(女人王,RnReJw,quán,GBK)
姿	(二欠女,YeSqRn,zī_zì,GB0)
娀	(女戈{左上},RnMeSz,sōng,GBK)
威	(戊一女,MwFiRn,wēi,GB0)
娂	(女龷八,RnScUa,hóng,GBK)
娃	(女土土,RnGtGt,wá_wā_guì,GB0)
娄	(米女,TmRn,lóu,GB0)
娅	(女丌䒑,RnYjQd,yà,GB0)
娆	(女七丿兀,RnWiMpPw,ráo_rǎo,GB0)
娇	(女夭{介下},RnVyUa,jiāo,GB0)
娈	(亦女,HiRn,luán,GB0)
娉	(女由丂,RnAyEk,pīng_pìn,GB0)
娊	(女見,RnLj,xiàn_dān,GBK)
娋	(女小月,RnViWy,shào_shāo,GBK)
娌	(女里,RnGl,lǐ,GB0)
娍	(女戊乛,RnMwVi,chéng_shèng,GBK)
娎	(扌斤女,CoCjRn,xiè,GBK)
娏	(女尤彡,RnKyHp,máng,GBK)
娐	(女爪子,RnBzKz,fū,GBK)
娑	(氵小丿女,IsViMpRn,suō_suǒ_suò,GB0)
娒	(女𠂉母,RnAvWu,méi_mǔ_wǔ,GBK)
娓	(女尸毛,RnYsHm,wěi,GB0)
娔	(女古儿,RnIuNe,kè,GBK)
娕	(女木口,RnFmOv,chuò_cù_lài,GBK)
娖	(女足,RnJz,chuò_cù,GBK)
娗	(女壬廴,RnTeJd,tǐng_tiǎn,GBK)
娘	(女丶艮,RnLdMg,niáng,GB0)
娙	(女一巛工,RnFiJcKg,xíng,GBK)
娚	(女田力,RnYtWl,nán,GBK)
娛	(女口㇉大,RnOvKnUd,yú,GBK)
娜	(女乛キ阝,RnViEkBf,nà_nuó,GB0)
娝	(女不口,RnObOv,pōu_bǐ,GBK)
娞	(女爪女,RnBzRn,něi_suī,GBK)
娟	(女口月,RnOvWy,juān,GB0)
娠	(女辰,RnBc,shēn,GB0)
娡	(女士心,RnGiTi,zhì,GBK)
娢	(女人丶口,RnReLdOv,hán,GBK)
娣	(女丷弓丿,RnQdPgMp,dì,GB0)
娤	(爿士女,LcGiRn,zhuāng,GBK)
娥	(女丿扌戈,RnMpCoMe,é,GB0)
娦	(女斤一八,RnCjFiUa,pín,GBK)
娧	(女丷口儿,RnQdOvNe,tuì,GBK)
娨	(女日干,RnJrNg,xiàn,GBK)
娩	(女冖口儿,RnPiOvNe,miǎn_wǎn_wèn,GB0)
娪	(女一{五下}口,RnFiQwOv,wú_wù_yú,GBK)
娫	(女丿止廴,RnMpNzJd,yán,GBK)
娬	(女一弋止,RnFiMiNz,wǔ,GBK)
娭	(女厶矢,RnKsAi,āi_xī,GBK)
娮	(女言,RnUy,yán,GBK)
娯	(女口㇉八,RnOvKnUa,yú,GBK)
娰	(女亻乚人,RnEeKnRe,sì,GBK)
娱	(女口一大,RnOvFiUd,yú,GB0)
娲	(女口冂人,RnOvPkRe,wā,GB0)
娳	(女禾刂,RnVeGd,lì,GBK)
娴	(女门木,RnQmFm,xián,GB0)
娵	(女耳又,RnMrBo,jū,GBK)
娶	(耳又女,MrBoRn,qǔ_jū_shū,GB0)
娷	(女壬龷,RnTeSc,zhuì_shuì,GBK)
娸	(女其,RnTq,qī,GBK)
娹	(女弓亠幺,RnPgLtTa,xián,GBK)
娺	(女又又又,RnBoBoBo,zhuó,GBK)
娻	(女木日,RnFmJr,dōng_dòng,GBK)
娼	(女日日,RnJrJr,chāng,GB0)
娽	(女彐水,RnXjHs,lù,GBK)
娾	(女厂土土,RnMcGtGt,ǎi_ái_è,GBK)
娿	(阝丁口女,BfDdOvRn,ē_ě,GBK)
婀	(女阝丁口,RnBfDdOv,ē_ě,GB0)
婁	(口十口女,OvQiOvRn,lóu_lǚ_lǘ_léi,GBK)
婂	(女白巾,RnDaVj,mián,GBK)
婃	(女宀示,RnKbDi,cóng,GBK)
婄	(女立口,RnAlOv,pǒu_péi_bù,GBK)
婅	(女勹米,RnHbTm,jú,GBK)
婆	(氵皮女,IsEpRn,pó,GB0)
婇	(女爪木,RnBzFm,cǎi,GBK)
婈	(女土八夊,RnGtUaEu,líng,GBK)
婉	(女宀夕㔾,RnKbUxVi,wǎn,GB0)
婊	(女龶𧘇,RnHqSi,biǎo,GB0)
婋	(女虎,RnMh,xiāo,GBK)
婌	(女上小又,RnKsViBo,shú,GBK)
婍	(女大丁口,RnUdDdOv,qǐ,GBK)
婎	(女隹,RnYz,huī,GBK)
婏	(女冖口丶,RnPiOvLd,fàn_fù,GBK)
婐	(女日木,RnJrFm,wǒ,GBK)
婑	(女禾女,RnVeRn,ruí_wǒ_něi,GBK)
婒	(女火火,RnThTh,tán,GBK)
婓	(非女,UfRn,fēi,GBK)
婔	(女非,RnUf,fēi,GBK)
婕	(女一彐龰,RnFiXjNz,jié_qiè,GB0)
婖	(女一大丶,RnFiUdLd,tiān,GBK)
婗	(女臼儿,RnHjNe,ní_nǐ,GBK)
婘	(女丷夫㔾,RnQdKfVi,quán_juàn,GBK)
婙	(女冖彐亅,RnPiXjVi,jìng,GBK)
婚	(女{卬左}七日,RnGmWiJr,hūn,GB0)
婛	(女{京頭}小,RnLgVi,jīng,GBK)
婜	(臣又女,DeBoRn,qiān_jǐn,GBK)
婝	(女宀一龰,RnKbFiNz,diàn,GBK)
婞	(女土䒑十,RnGtQdQi,xìng,GBK)
婟	(女囗古,RnXwIu,hù,GBK)
婠	(女宀尸コ,RnKbYsBo,wān_guàn,GBK)
婡	(女來,RnCl,lái_lài,GBK)
婢	(女{卑上}十,RnXgQi,bì,GB0)
婣	(女片爿一,RnLpLcFi,yīn,GBK)
婤	(女⺆土口,RnHbGtOv,chōu_zhōu,GBK)
婥	(女卜早,RnNvTo,nào_chuò,GBK)
婦	(女彐冖巾,RnXjPiVj,fù,GBK)
婧	(女龶月,RnHqWy,jìng,GB0)
婨	(女人一冊,RnReFiIc,lún,GBK)
婩	(女山厂干,RnTsMcNg,àn_nüè,GBK)
婪	(木木女,FmFmRn,lán_lǎn,GB0)
婫	(女日匕匕,RnJrIbIb,kūn_hùn,GBK)
婬	(女爪壬,RnBzTe,yín,GBK)
