⺀	(⺀,Ye,,部首補充)
㒂	(亻艹耂日,EeScGtJr,zhuó,CJK-A)
㒃	(亻弋二貝,EeMiYeXb,èr,CJK-A)
㒄	(亻月犬灬,EeWyLqTo,rǎn,CJK-A)
㒅	(亻亠夕𧘇,EeLtUxSi,qǐ,CJK-A)
㒆	(亻合习习,EeRhBiBi,chì,CJK-A)
㒇	(亻𠂉卌灬,EeAvSaTo,wǔ,CJK-A)
㒈	(亻乛耳夊,EeViMrEu,hàn,CJK-A)
㒉	(亻尚木,EeJsFm,tǎng,CJK-A)
㒊	(亻刀丶止,EeIaLdNz,sè,CJK-A)
㒋	(亻其斤,EeTqCj,sī,CJK-A)
㒌	(亻火火几,EeThThDj,qióng,CJK-A)
㒍	(亻厶厶糸,EeKsKsPs,léi,CJK-A)
㒎	(亻一大非,EeFiUdUf,sà,CJK-A)
㒏	(亻宀{冓上}⺀,EeKbSaYe,,CJK-A)
㒐	(亻竹勹日,EeAvHbJr,,CJK-A)
㒑	(亻匚氵隹,EeWfIsYz,kuǐ_huì,CJK-A)
㒒	(亻业羊八,EeLyHvUa,pú,CJK-A)
㒓	(亻土羊辶,EeGtHvHc,tà,CJK-A)
㒔	(亻罒勹虫,EeKwHbAo,shú_dú_tù,CJK-A)
㒕	(亻亠{纟上}隹,EeLtNjYz,yāng,CJK-A)
㒖	(亻艹禺,EeScLu,ǒu,CJK-A)
㒗	(亻卄二至,EeScYeUz,tái,CJK-A)
㒘	(亻臣又立,EeDeBoAl,,CJK-A)
㒙	(亻糹白巾,EePsDaVj,mián,CJK-A)
㒚	(亻爪工心,EeBzKgTi,yìn_wěn,CJK-A)
㒛	(亻习习隹,EeBiBiYz,diào,CJK-A)
㒜	(亻臼丂八,EeHjEkUa,yǔ,CJK-A)
㒝	(亻艹罒丶,EeScKwLd,miè_wà,CJK-A)
㒞	(亻山隹{雋下},EeTsYzPk,jùn,CJK-A)
㒟	(亻亠馬𧘇,EeLtHaSi,niǎo,CJK-A)
㒠	(亻卜夕一,EeNvUxFi,xiè,CJK-A)
㒡	(亻爪缶糸,EeBzXfPs,yóu,CJK-A)
㒢	(亻{龠頭}冊,EeRhIc,,CJK-A)
㒣	(亻广亻心,EeLaEeTi,,CJK-A)
㒤	(亻耳耳耳,EeMrMrMr,chè,CJK-A)
㒥	(亻山丰䒑,EeTsLfQd,fēng,CJK-A)
㒦	(亻田田土,EeYtYtGt,lěi_lèi,CJK-A)
㒧	(亻文凵隹,EeRwDkYz,lì,CJK-A)
㒨	(亻臼{囟框}巳,EeHjDxNi,,CJK-A)
㒩	(亻{互中}豕虫,EeWuBiAo,luǒ,CJK-A)
㒪	(人臣臣豕,ReDeDeBi,,CJK-A)
㒫	({反彐}儿,XjNe,jì,CJK-A)
㒬	(一兀王,FiPwJw,,CJK-A)
㒭	(口儿口儿,OvNeOvNe,,CJK-A)
㒮	(一兀豕,FiPwBi,,CJK-A)
㒯	(小兀艹龷,ViPwScSc,,CJK-A)
㒰	(入工,PrKg,quán,CJK-A)
㒱	(入夕,PrUx,,CJK-A)
㒲	(入日,PrJr,cái,CJK-A)
㒳	(冂丨入入,PkIvPrPr,liǎng,CJK-A)
㒴	(入屮凵,PrDcDk,gǔ,CJK-A)
㒵	(白八,DaUa,mào,CJK-A)
㒶	(八白,UaDa,,CJK-A)
㒷	(冂人一八,PkReFiUa,guǎ,CJK-A)
㒸	(䒑豕,QdBi,suì,CJK-A)
㒹	(十且八八,QiHqUaUa,,CJK-A)
㒺	(冂䒑人乚,PkQdReKn,,CJK-A)
㒻	(冂二見,PkYeLj,mào,CJK-A)
㒼	(卄一巾入,ScFiVjPr,mán,CJK-A)
㒽	(冂二丷㔾,PkYeQdVi,quān,CJK-A)
㒾	(冂二方也,PkYeNfJe,shì,CJK-A)
㒿	(冂二文隹,PkYeRwYz,lí,CJK-A)
㓀	(冖卜,PiNv,,CJK-A)
㓁	(冖八,PiUa,wǎng,GBK)
㓂	(冖一兀女,PiFiPwRn,kòu,CJK-A)
㓃	(冖言丿七,PiUyMpWi,dù,CJK-A)
㓄	(厶厶厶儿,KsKsKsNe,zhèn,CJK-A)
㓅	(二丁,YeDd,tīng,CJK-A)
㓆	(二人匕,YeReIb,,CJK-A)
㓇	(二夭,YeVy,,CJK-A)
㓈	(二石,YeUs,bìng,CJK-A)
㓉	(二舌,YeSs,huò,CJK-A)
㓊	(二冂一口,YePkFiOv,dòng,CJK-A)
㓋	(二龷八,YeScUa,gòng,CJK-A)
㓌	(二人王,YeReJw,chēng,CJK-A)
㓍	(二亠厶儿,YeLtKsNe,,CJK-A)
㓎	(二彐冖又,YeXjPiBo,qīn_qìn_qǐn,CJK-A)
